CATALOGO DE MODELOS 3D - OPORTUNIDADES DE VENTA,,,,,,,
Referencia de categorias y lineas de modelos 3D con potencial comercial para ANDES,,,,,,,
ID Modelo,Nombre / Linea,Categoria,Subcategoria,Publico Potencial,Precio Referencia (COP),Complejidad,Observacion
M-001,Mapas geograficos regionales,Educacion,Geografia,Colegios / museos,$25.000,Media,Cada departamento o pais como pieza independiente
M-002,Linea de anatomia basica,Ciencia,Biologia,Colegios / universidades,$42.000,Alta,"Organos, sistemas y estructuras con corte didactico"
M-003,Figuras del sistema solar,Ciencia,Astronomia,Colegios / hogares,$18.000,Media,"Planetas individuales o en set, a escala relativa"
M-004,Replicas de monumentos,Cultura,Patrimonio,Museos / tiendas,$35.000,Alta,"Castillo, torre, piramide, coliseo, entre otros"
M-005,Letras y numeros decorativos,Arte y Deco,Tipografia,Hogares / empresas,$8.000,Baja,"Nombres, iniciales, frases en distintos estilos"
M-006,Macetas y jardineras,Arte y Deco,Hogar,Hogares / tiendas,$12.000,Baja,Distintas formas geometricas y organicas
M-007,Organizadores de escritorio,Educacion,Productividad,Oficinas / estudiantes,$14.000,Baja,"Portafolios, clips, soportes, bandejas"
M-008,Figuras de animales articulados,Arte y Deco,Jugueteria,Ninos / coleccionistas,$22.000,Alta,Animales con articulaciones impresas en una pieza
M-009,Piezas para juegos de mesa,Educacion,Ludica,Familias / colegios,$16.000,Media,"Fichas, dados, tableros, contadores personalizados"
M-010,Accesorios para sillas de ruedas,Accesibilidad,Movilidad,Personas con discapacidad,$11.000,Baja,"Portavasos, soportes, ganchos adaptados"
M-011,Adaptadores e instrumentos AAC,Accesibilidad,Comunicacion,TEA / discapacidad,$28.000,Media,"Tableros, senaladores, pulsadores de bajo costo"
M-012,Relieves para aprendizaje tactil,Accesibilidad,Baja vision,Discapacidad visual,$19.000,Media,"Letras, mapas, figuras con textura diferenciada"
M-013,Modelos geologicos,Ciencia,Geologia,Colegios / museos,$30.000,Media,"Capas terrestres, tipos de roca, formaciones"
M-014,Maquetas arquitectonicas,Arquitectura,Urbanismo,Universidades / empresas,$55.000,Alta,"Edificios, casas, estructuras a escala"
M-015,Set de geometria solida,Educacion,Matematicas,Colegios / universidades,$20.000,Baja,"Poliedros, prismas, piramides, esferas"
M-016,Figuras precolombinas,Cultura,Arqueologia,Museos / tiendas,$32.000,Alta,Piezas inspiradas en culturas indigenas colombianas
M-017,Piezas de repuesto hogar,Industria,Utilidades,Hogares / talleres,$6.000,Baja,"Bisagras, perillas, soportes, clips de repuesto"
M-018,Instrumentos musicales pequenos,Arte y Deco,Musica,Colegios / hogares,$24.000,Media,"Ocarina, silbato, maracas simples"
M-019,Senaletica y letreros,Industria,Comunicacion,Empresas / instituciones,$15.000,Baja,"Numeros de oficina, flechas, avisos personalizados"
M-020,Figuras de flora colombiana,Cultura,Biodiversidad,Colegios / hogares,$18.000,Media,"Flores, frutos, hojas de especies nativas"
,,,,,,,
"NOTA: Este catalogo es una referencia de oportunidades. Cada linea requiere validacion de diseno, materiales y tiempos antes de ofrecer al cliente. Los precios son estimados de referencia.",,,,,,,
