SATISFACCION DE INSTITUCIONES BENEFICIARIAS - ANDES,,,,,,,,
Evaluacion de calidad percibida por instituciones educativas e inclusivas atendidas,,,,,,,,
ID Evaluacion,Institucion,Recurso Evaluado,Calidad del Material (1-5),Precision Dimensional (1-5),Utilidad Pedagogica (1-5),Tiempo de Entrega (1-5),Promedio,Observaciones
EVL-001,Escuela Normal Superior Barranquilla,Abecedario Braille Modular,5,5,5,4,"4,8",Los estudiantes aprendieron mas rapido con el material tactil. Excelente acabado.
EVL-002,Instituto para Ciegos del Caribe,Teclado Braille Portatil,5,4,5,5,"4,8",Material muy solido. Los jovenes lo usan a diario. Pediremos mas unidades.
EVL-003,Colegio Distrital Las Nieves,Figuras Geometricas Tactiles,4,4,5,5,"4,5",La textura diferenciada es clave para los estudiantes con baja vision.
EVL-004,Fundacion Manos Abiertas,Tablero Comunicacion AAC,5,5,5,4,"4,8",Transformo la comunicacion de varios de nuestros beneficiarios. Muy recomendado.
EVL-005,Colegio Fe y Alegria No. 1,Fracciones Montessori,4,5,5,5,"4,8",Facil de usar en el salon. Los ninos entienden mejor las fracciones con el material fisico.
EVL-006,IED Simon Bolivar,Mapa de Colombia Relieve,5,5,4,3,"4,3",El mapa es muy preciso. El tiempo de entrega fue un poco mayor al esperado.
EVL-007,Hogar Infantil Comunitario El Prado,Agarre Lapiz Adaptado,5,4,5,5,"4,8",Varios ninos con dificultades motrices lograron escribir por primera vez con este agarre.
EVL-008,Escuela Normal Superior Barranquilla,Atomos y Moleculas Kit,4,4,5,4,"4,3",Muy util para las clases de quimica. Los conectores son resistentes y precisos.
EVL-009,Instituto para Ciegos del Caribe,Regla Tactil con Braille,5,5,5,5,"5,0",Herramienta indispensable. La precision de las marcas en relieve es perfecta.
EVL-010,Colegio Distrital Las Nieves,Rompecabezas Mapa Mundi,4,3,4,4,"3,8",Buena iniciativa aunque las piezas de oceanos podrian ser mas robustas.
EVL-011,Colegio San Jose de la Salle,Figura Anatomica Corazon Humano,5,5,5,4,"4,8",El nivel de detalle del corazon supero nuestras expectativas. Los estudiantes quedaron impresionados.
EVL-012,Universidad del Atlantico,Figura Sistema Solar Escala,4,5,5,5,"4,8",Excelente herramienta para astronomia. Las proporciones son correctas y el material es solido.
EVL-013,IED Olaya Herrera,Figura Celula Animal Desmontable,5,4,5,4,"4,5",Los organulos extraibles facilitan mucho la ensenanza. Muy util para evaluaciones practicas.
EVL-014,Fundacion Manos Abiertas,Accesorio Abrepuertas de Muneca,5,5,5,5,"5,0",Cambio la vida de varios de nuestros beneficiarios. La autonomia que genera es invaluable.
EVL-015,Hogar Gerontologico El Carmen,Accesorio Soporte Tablet Cama,4,4,5,4,"4,3",Los adultos mayores lo usan a diario para videollamadas. El agarre es firme y seguro.
EVL-016,IED Concentracion Cevillar,Figura Piramide de Giza Seccionada,5,5,4,4,"4,5",La seccion interior genera mucha curiosidad e interaccion en el aula. Muy recomendado.
EVL-017,Instituto para Ciegos del Caribe,Accesorio Sujetador de Paginas,5,5,5,5,"5,0",Herramienta fundamental para la independencia lectora. La precision del agarre es perfecta.
EVL-018,Colegio Distrital Las Americas,Figura Volcan en Corte,4,4,5,5,"4,5",Muy buena para explicar fenomenos geologicos. Podria tener colores diferenciados por capa.
EVL-019,Escuela Normal Superior Barranquilla,Figura Esqueleto Humano Articulado,5,5,5,3,"4,5",El esqueleto articulado es impresionante. Tardo un poco mas de lo esperado pero valio la pena.
EVL-020,Fundacion Rehabilitar Caribe,Accesorio Silla de Ruedas Portavasos,5,4,5,5,"4,8",Accesorio practico y muy bien pensado. Los usuarios lo adoptaron inmediatamente.
,PROMEDIO GENERAL,,"4,7","4,5","4,9","4,4","4,6",
,,,,,,,,
Escala de evaluacion:,,,,,,,,
5 = Excelente,,,,,,,,
4 = Bueno,,,,,,,,
3 = Regular,,,,,,,,
2 = Deficiente,,,,,,,,
1 = Muy deficiente,,,,,,,,
