TIEMPOS DE PRODUCCION - RECURSOS DIDACTICOS 3D ANDES,,,,,,,,
Referencia de tiempos por recurso para planificacion de produccion y entregas,,,,,,,,
ID Recurso,Nombre del Recurso,Material,Tiempo Impresion (h),Tiempo Post-Proceso (h),Tiempo Total (h),Velocidad (mm/s),Piezas por Unidad,Tiempo por Lote de 5 (h)
RD-001,Abecedario Braille Modular,PLA,"5,0","1,0","6,0",55,27,"30,0"
RD-002,Figuras Geometricas Tactiles,TPU,"3,5","0,5","4,0",35,10,"20,0"
RD-003,Mapa de Colombia Relieve,PLA+,"8,0","2,0","10,0",50,3,"50,0"
RD-004,Teclado Braille Portatil,PETG,"6,0","1,5","7,5",45,2,"37,5"
RD-005,Atomos y Moleculas Kit,PLA,"4,5","0,5","5,0",60,60,"25,0"
RD-006,Tablero Comunicacion AAC,PLA+,"5,5","1,5","7,0",50,1,"35,0"
RD-007,Rompecabezas Mapa Mundi,PLA,"6,0","1,0","7,0",55,7,"35,0"
RD-008,Regla Tactil con Braille,PETG,"1,5","0,5","2,0",50,1,"10,0"
RD-009,Fracciones Montessori,PLA,"4,0","0,5","4,5",55,11,"22,5"
RD-010,Agarre Lapiz Adaptado,TPU,"0,8","0,2","1,0",30,3,"5,0"
RD-011,Letras Mayusculas Tactiles,PLA,"4,5","1,0","5,5",55,27,"27,5"
RD-012,Reloj Didactico Desmontable,PLA+,"3,5","0,8","4,3",50,14,"21,5"
RD-013,Protractor Tactil,PETG,"2,0","0,5","2,5",50,1,"12,5"
RD-014,Tablero de Abaco,PLA,"5,0","0,8","5,8",55,22,"29,0"
RD-015,Soporte Libro Manos Libres,PETG,"7,0","1,0","8,0",50,4,"40,0"
RD-016,Figura Anatomica Corazon Humano,PLA+,"7,0","1,5","8,5",45,2,"42,5"
RD-017,Figura Sistema Solar Escala,PLA,"9,5","2,0","11,5",55,8,"57,5"
RD-018,Figura Celula Animal Desmontable,PLA+,"8,0","2,0","10,0",50,9,"50,0"
RD-019,Figura Esqueleto Humano Articulado,PETG,"12,0","3,0","15,0",45,22,"75,0"
RD-020,Figura Volcan en Corte,PLA,"5,5","1,0","6,5",55,3,"32,5"
RD-021,Accesorio Silla de Ruedas Portavasos,PETG,"2,0","0,5","2,5",50,1,"12,5"
RD-022,Accesorio Soporte Tablet Cama,PETG,"4,5","1,0","5,5",50,3,"27,5"
RD-023,Accesorio Abrepuertas de Muneca,TPU,"1,0","0,3","1,3",30,1,"6,5"
RD-024,Figura Piramide de Giza Seccionada,PLA,"6,0","1,5","7,5",55,2,"37,5"
RD-025,Accesorio Sujetador de Paginas,TPU,"0,8","0,2","1,0",30,1,"5,0"
,PROMEDIO,,"4,9","1,1","6,0",,,
